title,description,category,priority,resolution
VPN gateway timeout,I'm having trouble connecting to the office via Cisco AnyConnect on Windows 11. It gets stuck at 40% and eventually says 'Connection Timed Out'. My home internet is fine.,Infrastructure,Medium,Increased the session timeout threshold on the head-end firewall and cleared stale VPN sessions for the user ID.
SAN latency spikes on production cluster,We are observing intermittent I/O wait times exceeding 500ms on our Dell PowerStore array. This is impacting our SQL production database performance significantly. We see high latency alerts in the vCenter dashboard for all VMs hosted on the DataStore-01 LUN.,Storage,Critical,Identified a misconfigured replication schedule causing excessive IOPS; adjusted the schedule to off-peak hours.
EMERGENCY: Requesting new sticker,THE STORAGE CABINET IS COMPLETELY UNUSEABLE WITHOUT A LABEL! I AM LITERALLY SHAKING! PLEASE DROP EVERYTHING AND GET ME A Dymo LABEL MAKER RIGHT NOW OR WE WILL LOSE EVERYTHING!,Storage,Low,Provided user with label maker. Cabinet status confirmed as fully operational.
Unable to connect to MySQL instance after password reset,"Hi, I recently updated my database credentials for the dev environment and now I can't connect via MySQL Workbench 8.0 on my macOS Monterey machine. I keep getting an 'Access denied for user' error even though the credentials work in the CLI. Could you please double-check my permissions?",Database,Medium,Verified the user account was locked due to multiple failed attempts; cleared the lockout and confirmed the user had the correct host-based access privileges.
Office Wi-Fi password not working,"I am writing to formally report a persistent connectivity issue regarding my newly issued laptop and the 'Office_Secure' wireless network. Despite providing the correct credentials, the system repeatedly returns an 'Incorrect password' error, preventing me from establishing a connection. Please investigate this authentication failure and advise on the necessary steps to resolve the issue.",Network,Low,Removed the saved network profile on the laptop and re-authenticated using the user's domain credentials.
Salesforce login loop,"I am writing to formally report a persistent technical issue preventing access to Salesforce. When attempting to log in via the Google Chrome browser on Windows 11, the application enters an infinite refresh loop, rendering the login page inaccessible. Despite performing standard troubleshooting procedures, including clearing the browser cache and cookies, the issue remains unresolved. This technical failure is currently preventing me from fulfilling my professional responsibilities, specifically regarding the mandatory updating of lead records. Please prioritize this request as it is significantly impacting my workflow.",Application,High,Identified as a conflict with a recently pushed browser extension. Disabled the extension and forced a browser refresh.
Salesforce page load timeout,"When I try to pull the quarterly report on Salesforce, the page hangs for about 30 seconds and then gives me an 'Error 504: Gateway Timeout'. I have tried clearing my cache on Chrome version 124.0.6367.60, but the issue persists. Can someone look into this? It is blocking my weekly submission.",Application,High,Increased session timeout limits on the server-side configuration and cleared stale cached metadata for the user profile.
DNS resolution issues,"Some internal hostnames are not resolving. I tried flushing the cache, but nslookup just times out. It seems random, sometimes it works, sometimes it doesn't.",Infrastructure,Medium,Updated the forwarders on the primary DC; cleaned up a loop in the secondary DNS recursive lookup configuration.
Core Switch Uplink Flapping,"Hey, heads up—we're getting intermittent drops on the main uplink (Te1/0/1) for the 9300 dist switch. It’s hitting ERR_DISABLE every 15-20 mins due to link flapping, which is causing latency spikes across the entire 3rd-floor VLAN.",Infrastructure,High,Replaced the SFP+ transceiver and patched the fiber cable; port stability restored.
Deadlock detected during transaction,Transaction ID 0x4A21 encountered a deadlock while updating the inventory table. Error code 1213. This is happening multiple times an hour during our peak morning window.,Database,Medium,Updated application logic to ensure consistent row-locking order across all concurrent transactions.
Ethernet port dead at desk 42,My computer says 'Network cable unplugged' even though it's connected. I tried swapping the patch cable with a known working one and still get the same error. Please send someone to check the wall jack.,Network,Medium,Found a faulty patch panel port in the server room closet; repatched the user's connection to a different port on the switch.
Slow query performance,The 'GetOrders' stored procedure is taking over 30 seconds to execute on our staging environment. It used to take less than a second. We haven't changed any code recently.,Database,Medium,Updated the outdated statistics on the Orders table which caused the query optimizer to choose a suboptimal execution plan.
Guest Wi-Fi portal not loading,The login page for the guest network just sits there spinning when customers try to connect. It says 'Redirecting...' and never goes anywhere.,Network,Medium,"Rebooted the wireless controller and cleared the captive portal cache, which was preventing new authentication sessions."
Zoom audio sync lag,"I am beyond frustrated that the audio is constantly lagging behind the video during every single all-hands meeting. My network latency is perfectly fine, yet the Zoom desktop client insists on spiking my CPU usage to 90% every time I’m in a call. This is completely unacceptable and making it impossible to work.",Application,Medium,Updated Zoom client to the latest version and adjusted audio device buffer settings in the application.
Slow directory enumeration,"Browsing large file directories on the central server takes several minutes. The server CPU usage is low, but responsiveness is abysmal.",Infrastructure,Low,Optimized DNS round-robin settings and updated NIC drivers to improve path negotiation speed.
SERVER DOWN: EVERYTHING IS BROKEN HELP HELP HELP,"I accidentally deleted a comment on a post from 2018. It's not a big deal, but can you please restore the whole server from a backup? I'm totally freaking out here.",Database,Low,Instructed user on how to use the 'Undo' feature in the application dashboard.
Slow internet speeds,"The internet is incredibly slow today for the entire accounting team. Pages take forever to load, and our cloud-based accounting software keeps timing out. Is there a bandwidth cap active?",Network,High,Identified a massive background OS update consuming 90% of the circuit bandwidth; implemented QoS policy to throttle Windows Update traffic.
Corrupt virtual disk file,"Hey, SRV-APPS-01 isn't booting up. It’s throwing a 0x80070005 error when trying to hit the .vmdk on the datastore. Pretty sure the VMFS volume has some file system corruption.",Storage,Critical,Ran an 'fsck' equivalent check on the datastore and repaired the corrupted metadata header on the vmdk file.
Need access to production,Hey! Could you grant me read-only access to the production Postgres DB? Need it for some audit reports. My username is j.doe. Thanks!,Database,Low,Granted the 'reporting_role' to user j.doe and confirmed they can access the required views.
Help! The printer is making a weird noise,"The warehouse printer is grinding loudly and printing blank pages. It's a Kyocera TASKalfa, and the screen says 'Error F248'. I need this fixed today so we can finish shipping.",Infrastructure,Medium,Removed a jammed plastic label from the fuser unit and performed a drum cleaning cycle.
Degraded performance on bulk uploads,Bulk import jobs are failing halfway through. Could be a network buffer overflow or disk I/O wait on the database.,Database,Medium,Expanded database transaction log storage to prevent disk-full stalls during large imports.
Guest WiFi login page not appearing,The redirect page for the guest WiFi isn't popping up on mobile devices. Users just get a 'connection not private' error. Please look into it.,Network,Medium,Updated the SSL certificate on the captive portal gateway which had expired.
Lost Company Laptop,I left my company-issued MacBook Pro in a taxi this morning. I am panicking. Please wipe it remotely as soon as possible so my data doesn't get accessed.,Security,Critical,Issued remote wipe command via MDM. Device marked as 'Stolen' in the asset management system and remote lock confirmed.
VPN connection dropping repeatedly,"I'm having trouble staying connected to the corporate VPN while working from home. I am using GlobalProtect 5.2 on Windows 11, and it disconnects every 15-20 minutes with a 'Gateway timeout' error. This is making it impossible to access our internal SQL servers.",Network,High,"Updated GlobalProtect client to version 6.0 and cleared cached configuration files, which resolved the handshake timeout issue."
Teams camera not detected,My webcam works in every app except Microsoft Teams. It shows a black screen with a 'Camera not detected' error code 0x80070005. I've checked my privacy settings and the camera is enabled for Teams.,Application,Medium,Updated webcam drivers via Device Manager and cleared the Teams cache directory.
Static IP conflict on workstation WS-042,"I keep getting the Windows error 'An IP address conflict has occurred' on my machine. I need a static IP for the lab equipment software, but it seems like someone else is using it.",Network,Medium,Identified a rogue device using the static IP. Assigned a new reserved IP in the DHCP range for the workstation and updated the lab software configuration.
Suspicious email signature,"I received an email from an external sender that claims to be our CFO, but the signature looks weird and the reply-to address is a Gmail account. I haven't clicked anything, just wanted to report it.",Security,Medium,Flagged the sender's domain as malicious in the spam filter and blocked all incoming mail from that specific address.
Help! Locked out of my laptop,"My computer (LT-8892) is showing a BitLocker recovery screen after the Windows 11 update finished this morning. I've tried entering my PIN multiple times, but nothing happens. I'm stuck and can't start my work.",Security,High,Retrieved BitLocker recovery key from Intune and successfully performed a boot override.
Can't access dev database,I'm trying to connect to the dev instance via pgAdmin on my MacBook Pro but it keeps saying 'Connection refused'. I verified the VPN is active. Is there a firewall change?,Database,Low,Whitelisted user's new dynamic IP address in the security group.
Cloud storage sync loop,"The OneDrive client on my desktop is stuck in an endless sync loop. It keeps saying 'Processing changes' but never finishes, and it's killing my CPU usage. I've tried restarting the app but no luck.",Storage,Low,Cleared the OneDrive cache folder and performed a soft reset of the synchronization engine using the /reset command.
VPN Authentication Failure - Error 691,I am unable to connect to the corporate VPN using Cisco AnyConnect 4.10 on my MacBook Pro running macOS Monterey. It keeps throwing 'Error 691: The remote connection was denied because the user name and password combination you provided is not recognized'. I have already verified my credentials via the web portal and they work fine.,Access Management,High,Reset the user's LDAP password and forced a re-sync with the RADIUS server.
Mount point mounting failure,Several application servers are failing to mount their remote drives after a reboot. Troubleshooting has been unable to verify if it is an authentication (Network) or target availability (Storage) issue.,Infrastructure,High,Corrected an incorrect VLAN tagging configuration on the switch port preventing storage-to-server traffic.
SSL/TLS handshake failure,"Some of our legacy internal web apps are failing to load on modern browsers with a 'Your connection is not private' error. It seems like the server is still using TLS 1.0, which we blocked last week.",Security,Medium,Updated the IIS configuration on the server to support TLS 1.2 and re-bound a SHA-256 certificate to the site.
Slack desktop app stuck on loading screen,Slack won't open. Just stays on the loading icon forever.,Application,Low,Cleared the Slack application cache folder located in %AppData%\Slack and performed a forced restart.
VPN connection failure,"Ever since the latest Cisco AnyConnect update to version 4.10, I can't connect to the office VPN. It just says 'Unable to establish connection to the remote gateway'. It was working fine yesterday.",Security,Medium,Updated the root certificate store on the local client machine and re-authenticated the user against the RADIUS server.
Application Deployment failure,"Hey, having some trouble installing the new accounting software. It keeps hanging at 84% during configuration and throwing error 1603. I’ve already got admin rights, so not sure what's up—any ideas?",Application,High,Removed leftover registry keys from a failed previous installation and ran the installer with full elevated privileges.
Security group cleanup,We have several users who have left the department and still have access to the 'Sensitive_HR_Data' share. Please remove their access immediately for compliance reasons.,Access Management,Critical,Removed all listed users from the 'SEC_Sensitive_HR_Data' group and audited remaining members.
Excel 365 freezing with large datasets,"Whenever I import CSV files larger than 50MB into Excel 365 on my MacBook Pro M2, the application freezes entirely and stops responding. Activity Monitor shows 'Not Responding' status under Microsoft Excel. I'm on macOS Sonoma 14.4. Please advise.",Application,Medium,Disabled hardware graphics acceleration in Excel settings and increased the memory allocation buffer for large file handling.
MAC address filtering issue,I just received a new Dell Latitude laptop and it won't connect to the secure office network. It shows an authentication error on the 802.1x login prompt.,Network,Low,Added the new laptop's MAC address to the RADIUS whitelist and pushed a policy update to the endpoint.
Guest Wi-Fi portal not loading,"People are complaining that they can connect to the Guest_WiFi just fine, but the splash page never actually loads. Everyone is stuck with a ""No Internet"" error and the connection just times out. This is completely broken and needs to be fixed immediately.",Network,Low,Restarted the WLC (Wireless LAN Controller) service and cleared stale sessions from the guest VLAN.
Switch port 12 down,Port 12 on the stack in IDF-02 is showing status err-disabled. The uplink to the AP in the lobby is down. Please investigate.,Network,High,Identified a flapping issue caused by a faulty patch cable; replaced the Cat6 cable and re-enabled the interface.
Unable to run sudo commands,"I am writing to formally report an issue regarding my Ubuntu 22.04 workstation. As of today, I have lost administrative privileges, and any attempt to execute commands requiring elevated access results in a ""User is not in the sudoers file"" error. This is a regression in service, as I possessed the necessary permissions to execute these commands successfully as of yesterday. Please investigate this sudden revocation of my sudo access as a matter of urgency.",Access Management,High,Added the user back to the 'sudo' group and verified the integrity of the /etc/sudoers file.
Need a new network jack,We are moving desks and need an extra ethernet port activated for a new workstation. The wall plate is labeled DATA-102. Is this something you can help with?,Infrastructure,Low,Patched port 102 in the IDF switch rack to the active VLAN 10; tested connectivity and confirmed link light.
Need access to Finance-Shared-Drive,"Hi, I just started on the accounting team and need read/write access to the Finance-Shared-Drive. My manager is CC'd on this ticket. Thanks!",Access Management,Low,Added user to the AD group 'SEC-FINANCE-RW' and verified permissions.
PostgreSQL replication lag,The replication lag on our read replica (DB-Slave-04) has exceeded 5000ms. I've checked the pg_stat_replication view and it seems like a heavy write load on the primary is causing IO saturation. This is impacting our analytics dashboard.,Database,Medium,Optimized a long-running vacuum process on the primary node and scaled up the disk IOPS.
Intermittent connectivity on VLAN 20,"We’re dealing with constant, intermittent network drops on the accounting subnet (VLAN 20) and it's completely killing productivity. My users are losing their connection to the file server every 15-20 minutes, and while it reconnects on its own after 30 seconds, this cycle is unacceptable. I’ve already wasted time checking the uplink port on the core switch and there are zero CRC errors, so the issue is clearly somewhere else. Fix this already.",Network,High,Replaced faulty SFP+ module on the distribution switch stack.
Password reset keeps failing,I tried the self-service reset portal for my domain account three times. Each time it says 'Error updating password: Policy violation'. I'm just trying to make it my name and a number.,Access Management,Low,Educated user on password complexity requirements; reset password manually as a one-time courtesy.
Credential rotation needed,Security audit requested that we rotate the service account credentials for the 'app_svc_reader' user on all production MongoDB clusters. Please provide a timeline for when we can execute this without downtime.,Database,Medium,Coordinated a rolling credential update across the replica set to ensure zero-downtime transition.
Unable to run sudo commands,"I'm on my Linux workstation (Ubuntu 22.04) and suddenly getting 'User is not in the sudoers file'. I was able to run these commands yesterday, but now nothing works.",Access Management,High,Added the user back to the 'sudo' group and verified the integrity of the /etc/sudoers file.
Slow file transfers over VPN,"When I'm working remotely, saving files to the file server takes forever. It feels like I'm on a dial-up connection. Is there a storage setting I can change to speed this up?",Storage,Low,Advised user to use the DFS namespace shortcut instead of the direct IP mapped drive to improve latency; confirmed connection speed improvement.
Printer queue stuck,The printer in the HR office is completely unresponsive. I've restarted it twice and the spooler service on the print server says it's running but the queue just shows 'Error - Printing'.,Infrastructure,Low,Cleared the print spooler directory and updated the HP Universal Print Driver; queue cleared successfully.
Restore request,Accidentally dropped the 'marketing_leads' table in the test database. Can you restore it from last night's dump? Really sorry for the trouble.,Database,Medium,Restored the specific table from the daily snapshot taken at 03:00 UTC.
Cannot connect to dev database,Getting a 'Connection Refused' error when trying to hit the dev DB. It was working fine yesterday. Using psql v14.,Database,Medium,Identified that the PostgreSQL service had crashed due to an out-of-memory error; restarted service and increased allocated RAM.
Cannot access shared drive,"Hey, I used to have access to the \\FILESERVER\Finance folder, but now I get 'Access Denied'. I haven't changed anything on my end, can you check my permissions?",Security,Low,User was accidentally removed from the 'Finance-Read-Only' security group. Re-added user to the group and verified permission propagation.
"Stuck in a loop, need help!","Hey, having some trouble with my local dev DB—tried running a simple update script and now it’s just hanging indefinitely. It’s MySQL 8.0 on Ubuntu 22.04. Every time I try to run a SELECT query now, it just spins and never returns anything. Any ideas?",Database,Medium,Identified a deadlocked transaction caused by an uncommitted update. Killed the process ID and advised the user to implement explicit transaction handling.
Query optimization request,I have a complex JOIN query running against our data warehouse that is timing out on the dashboard. It joins 6 tables and scans over 10 million rows. Any way to speed this up?,Database,Medium,"Advised creating a materialized view to pre-compute the joins, significantly improving the dashboard load time."
Jira plugin incompatibility,"After the latest Jira update to 9.12.0, our time-tracking plugin stopped working entirely. It is throwing a '500 Internal Server Error' when we try to log hours. This is stopping our billing process for the month.",Application,Critical,Rolled back the plugin version to the stable release that supports the new Jira API schema.
ORA-01653 error on tablespace,Oracle 19c is throwing ORA-01653: unable to extend table USERS.DATA_TABLE by 128 in tablespace DATA_TS. We are unable to insert any new records into the customer portal.,Database,High,Extended the data file size for DATA_TS on the storage volume.
DNS resolution failure,"Random internal services are timing out today. It seems like the primary internal DNS server is dropping recursive lookups. Pinging the server works, but nslookup queries return 'Query Refused'.",Infrastructure,High,Identified circular dependency in DNS forwarders; cleaned up zone transfers and restarted DNS service.
Slow queries in DB-Cluster-A,Everything is super laggy today. The dashboard is taking 30 seconds to load data. Can you guys look at the cluster?,Database,Medium,Identified an unindexed column in the main 'Transactions' table causing a full table scan; added the missing non-clustered index.
BitLocker recovery screen,My Dell Latitude 5420 is completely useless again. It’s stuck on the BitLocker recovery screen for the millionth time and is demanding a 48-digit key that I don't have and was never given. I have a critical meeting in 10 minutes and this constant hardware failure is a total disaster—fix this immediately!,Security,High,Retrieved the recovery key from Azure AD device management and provided it to the user. Suggested a firmware update to prevent future boot loops.
Slack desktop app stuck on loading screen,"Slack just shows the spinning icon indefinitely. I've tried restarting my MacBook Pro, but it doesn't help. I need this to communicate with my team.",Application,Medium,Deleted the Slack application support folder located in ~/Library/Application Support/ to force a configuration refresh.
Laptop disk space warning,"Hey, my MacBook Pro keeps giving me the 'Your disk is almost full' notification. I can't seem to delete enough files to clear it out. Can you tell me what's taking up all the space?",Storage,Low,Ran a storage analysis and found a corrupted 40GB temporary cache file in the Adobe Premiere workspace; deleted the file and cleared the cache directory.
RAID 5 controller error,One of the physical drives in our RAID 5 array on the legacy Dell PowerEdge server is showing as 'Predicted Failure'. The system alert LED is flashing amber. We need to replace this before the whole array goes down.,Storage,High,Ordered a replacement drive of identical model; performed a hot-swap and initiated the background RAID rebuild process.
Can't access shared drive,"I'm getting 'Permission Denied' when trying to access the Finance_Data folder on the server. I was able to access it yesterday morning, so I'm not sure what changed with my permissions.",Security,Low,Identified that the user was inadvertently removed from the 'Finance_Users' AD security group; restored group membership.
Unauthorized login attempt from unknown IP,"I received an automated email notification about a successful login to my O365 account from an IP address based in a country I have never visited. The IP listed is 192.168.1.55, which does not match my office or home network. Please investigate if my credentials have been compromised.",Security,High,Confirmed session as a geo-location spoofing anomaly; forced password reset and enabled hardware-based MFA.
Primary Domain Controller latency,"We are experiencing significant authentication delays across the domain. Syslogs show event ID 5805 on the PDC, suggesting time synchronization drift of over 300 seconds. Kerberos tickets are failing intermittently.",Infrastructure,High,Force-synced the DC time with the external NTP pool and increased the tolerance threshold for skew.
Need static IP for printer,I need a static IP address for the new LaserJet 5000 we just installed in Marketing. Can you assign one and update the DNS?,Network,Low,Assigned 192.168.1.55 to the printer MAC address and created a static DHCP reservation with a corresponding DNS A record.
Schema sync issue between environments,"I'm trying to deploy our latest feature, but the database schema migrations are failing. Specifically, the 'Alter Table' command on 'Users' is failing with 'Column already exists'. I am using Flyway on Java 17.",Database,Low,Manually corrected the schema_version table in the database to align with the current state of the database and re-ran the migration tool successfully.
Slow upload speeds for video backups,"My workstation is barely limping along at 5Mbps upload when syncing to the cloud, despite being plugged into a gigabit Ethernet port. I’m tired of wasting my time with these speeds—is the QoS policy throttling my connection or what? Fix this.",Network,Low,Verified that the user’s traffic was being correctly classified in the high-priority queue; adjusted the bandwidth shaper settings to allow for increased cloud storage throughput.
Potential insider threat - Data egress,SIEM alerts triggered for user s.smith moving large volumes of sensitive project files to an unapproved cloud storage provider. Logs indicate 4GB of data uploaded via browser in a short timeframe.,Security,Critical,Revoked O365 access and locked user account. Escalated to HR and Legal for forensic investigation of company-issued laptop.
High CPU usage on Oracle DB,Our monitoring tool alerted us that the Oracle 19c instance on Linux RHEL 8 is sitting at 95% CPU usage for the last two hours. We haven't deployed any new code recently. The active session history shows a massive spike in recursive calls linked to a specific temporary table.,Database,High,Identified an unoptimized SQL query running in a background job; added the missing index on the temporary table and truncated the table to clear out stale session data.
Server disk space alert,Server SRV-APP-02 is running low on disk space on volume D:. It has less than 500MB free.,Infrastructure,Medium,"Cleared legacy log files and moved temp installation data to archive storage, freeing up 40GB."
Revoke access for terminated employee,Please terminate all system access for John Doe (jdoe@company.com) immediately. This is an urgent request due to his resignation effective today. Ensure all email and VPN tokens are deactivated.,Access Management,Critical,"Disabled AD account, revoked O365 license, and wiped mobile device enrollment via Intune."
Failed DB backup,"The nightly backup job on DB-Backup-Node failed with exit code 32001. The disk space looks fine, but the logs mention a checksum failure on block 5432.",Database,High,Ran a DBCC CHECKDB command which identified corruption; restored the database from the last known good backup to a new file path.
Duplicate IP address error,My workstation just popped up a message saying 'Duplicate IP address detected on the network'. Now my network icon has a yellow exclamation mark. What do I do?,Network,Medium,Traced the conflicting MAC address to an improperly configured IoT device and updated its network settings.
New hire onboarding access,"Please provision the following for our new hire, Sarah Smith: Active Directory, email, Slack, and Salesforce. She starts on Monday.",Access Management,Medium,Provisioned all requested accounts and sent welcome instructions to the manager.
MongoDB auth error,"I'm getting 'Authentication failed' when connecting from my laptop (MacOS Monterey). I'm using the exact credentials provided in the team wiki, but the Mongo shell refuses the connection.",Database,Low,The user was using an outdated certificate; provided the updated CA certificate and refreshed the local trust store.
Screen timeout policy too aggressive,"The security policy on my new Windows machine is way too strict. It locks the screen after only 60 seconds of inactivity, which is making it impossible to read long documents without constant re-authentication.",Security,Low,Adjusted the GPO for the user's specific OU to extend the inactivity lock period from 1 minute to 5 minutes as per approved policy exceptions.
Unable to access VPN client,"My Cisco AnyConnect client is stuck on 'Connecting' forever. I've restarted my laptop twice and checked my internet connection, but nothing changes. Please fix this as I need to access the internal server.",Application,Critical,Flushed the local DNS cache and updated the Cisco AnyConnect Secure Mobility Client to the latest version compatible with the current network firmware.
Office lights are flickering,The lights in the west wing are flickering again. I'm worried it's going to affect the servers nearby. Can someone take a look?,Infrastructure,Medium,Electrical contractor tightened a loose neutral wire in the main circuit breaker panel.
Forgotten Password,I forgot my password. Can you help me reset it?,Access Management,High,Verified identity via manager and performed an AD password reset.
Potential Phishing Email,I received an email claiming to be from the IT department asking me to 'verify my credentials' by clicking a link to an external site. The sender address looks like a spoofed internal domain. I have not clicked anything yet.,Security,High,"Verified malicious URL, blacklisted the sender domain, and triggered a purge of the phishing mail from all user inboxes."
Slow file server access,Accessing the Q: drive is painfully slow today. Opening a 5MB Word document takes over 30 seconds. This is happening across the entire marketing department on all workstations.,Network,Medium,Identified a heavy backup job running during business hours and rescheduled the process to start at 10:00 PM.
Jira Permission Denied,Unable to view tickets in the 'Engineering' project. I keep receiving a '403 Forbidden' error message when navigating to the board. My colleague has the same access level and can see them just fine.,Access Management,Low,Updated the global permission scheme in Jira to include the user's specific AD security group.
Blocked website access,"Hey, why is the corporate firewall blocking me from accessing GitHub? I need to pull a repository for the current sprint. It keeps showing an 'Access Denied - Category: Malware/Phishing' error.",Security,Medium,Whitelisted the specific repository URL in the web filter policy after security review.
EMERGENCY: MASSIVE DATA BREACH IN PROGRESS!!!,"I think I saw a suspicious icon on my desktop for a second? I am shaking, please help me immediately, I think the whole company is being hacked right now!!!",Security,Low,Verified that the 'suspicious icon' was a shortcut to the local recycle bin.
Permission issue,"I need read access to the marketing database. My manager approved it, but I can't connect using my current credentials. Getting an 'Access denied for user' error.",Database,Low,Granted SELECT permissions on the 'marketing_prod' schema to the user's AD group.
Switch port 12 flapping,"Monitor alerts show Switch-Core-01, port 12, is flapping every few seconds. This is causing significant latency for the accounting team connected to the stack. Please investigate.",Network,Critical,Replaced a faulty SFP module and fiber patch cable connecting the distribution switch to the core switch.
Database user locked,I keep getting an account locked notification every time I try to log in. I've tried resetting it twice through the portal but no luck. Frustrating.,Database,Low,Identified a stale service account job that was continuously attempting to authenticate with an expired credential.
Remove access for terminated employee,Please terminate access for John Doe immediately. He is no longer with the company. Please ensure all shared drives and email access are disabled.,Access Management,Critical,"Disabled user account, wiped mobile device, and revoked O365 tokens."
Adobe Acrobat crashing on startup,"Every time I open Adobe Acrobat Pro, it crashes immediately. I'm running Windows 11 and keep getting an APPCRASH error in the Event Viewer pointing to a fault in acrord32.dll. It's super frustrating because I have three contracts to sign today.",Application,High,Performed a clean uninstall using the Adobe Creative Cloud Cleaner Tool and reinstalled the latest version of Acrobat Pro.
Tableau workbook error,"I’m beyond fed up with this. Every time I try to refresh the extract for the quarterly financial workbook, I’m getting an ""Internal Error: Data source not found"" message. We are on version 2023.1 and I’ve already verified that the SQL connection is perfectly fine on my end, so the issue is clearly on your side. Fix this immediately, I don't have time to keep chasing errors.",Application,High,Updated the expired service account credentials in the Tableau Server data source settings.
Can't access dev database,"I am writing to formally report an ongoing issue regarding my inability to establish a connection to the development instance via pgAdmin on my MacBook Pro. Despite confirming that my VPN is active and correctly configured, I consistently receive a ""Connection refused"" error message. Please investigate whether recent modifications to firewall policies have restricted access to this environment and provide a resolution as soon as possible.",Database,Low,Whitelisted user's new dynamic IP address in the security group.
Outlook search not returning results,"Search is broken in Outlook 365. When I type anything into the search bar, it returns 'No results found', even for emails that are sitting right in my inbox. I've tried rebuilding the Windows Search index, but that didn't work.",Application,Medium,Created a new Outlook profile and re-synced the OST file to resolve a corrupted indexing database.
Unable to log into Salesforce,"My Salesforce login is failing on macOS Sonoma. It redirects me to the SSO login page, but then gives me a blank white screen instead of the dashboard. I've tried Safari and Chrome with the same results.",Access Management,Medium,Cleared site-specific cookies and cache for the Salesforce domain; user successfully logged in.
SQL Server deadlock on nightly ETL process,We are seeing frequent 1205 deadlock errors during the nightly data warehouse refresh on our Windows Server 2022 instance. It seems to be hitting the 'Sales_Transactions' table while the reporting services are querying it. This is causing our morning reports to be incomplete.,Database,High,Implemented 'READ_COMMITTED_SNAPSHOT' on the database to reduce locking contention and updated the ETL job schedule to avoid overlap with report generation.
Hyper-V Host BSOD,Hyper-V Host-04 crashed this morning with a 'SYSTEM_SERVICE_EXCEPTION'. The minidump points to a conflict with the Broadcom NetXtreme network driver. This host is currently offline.,Infrastructure,Critical,Rolled back NIC driver to previous stable version and restored virtual machines to secondary node.
Can't access the server room,The keycard reader for the server room is failing. I tap my badge and the light flashes red instead of green. It's been like this for an hour and I need to check the HVAC unit.,Infrastructure,Medium,Replaced the RFID reader module and re-synced the controller with the security database.
Wi-Fi is super slow in the cafeteria,"My internet is completely unusable every single day during my lunch break. My phone drops the signal constantly, and I am sick of dealing with this—it has been happening all week and it's beyond frustrating.",Infrastructure,Low,Increased AP power levels and optimized channel selection to mitigate signal interference from the kitchen microwave.
Lost company laptop,"I left my company laptop on the train this morning. It's an HP EliteBook. I'm panicking, please help.",Security,Critical,Issued a remote wipe command via Intune. Marked device as 'Lost' in the inventory system to ensure hard drive encryption remains active.
Outlook search not returning results,My Outlook search is completely broken. It tells me there are no results even for emails I just received. I'm using Outlook 365 on Windows 10.,Application,Low,Rebuilt the Windows Search Indexing for Outlook and repaired the OST file using scanpst.exe.
"TOTAL SYSTEM COLLAPSE, SENDING S.O.S.","Hey, could you tell me how to export a CSV file from the documentation database? Just looking to organize my own personal files a bit better. Thanks!",Database,Low,Sent documentation link detailing the 'Export to CSV' function.
Office Wi-Fi is super slow today,The Wi-Fi in the main lobby is unusable. I'm trying to run a Zoom meeting and the video keeps freezing. It's been like this all morning.,Network,Medium,Identified rogue access point causing co-channel interference and disabled it.
Slack desktop notifications not appearing,"I'm not getting any notifications for direct messages or mentions on the Slack desktop app. My system settings in Windows 10 allow notifications for Slack, but the app itself seems to be ignoring them.",Application,Low,Disabled 'Do Not Disturb' mode within the Slack app settings and reset the notification preferences cache.
USB drive restriction request,"I need to transfer a large encrypted file to a vendor. However, the system policy is preventing me from mounting my encrypted USB thumb drive. Is there a way to bypass this for just this one task?",Security,Low,"Denied request due to DLP policy. Provided instructions on using the approved, secure file-sharing portal to transfer the data."
Suspected malware on reception computer,The computer at the front desk is acting really weird. It’s opening random windows and Chrome keeps showing pop-ups for 'Tech Support' scams. I'm worried it's infected.,Security,High,"Performed a remote isolation of the host. Ran Malwarebytes and Microsoft Defender offline scan, which identified a malicious browser extension and removed it."
Forgotten MFA device,I left my company-issued Yubikey at home. I'm at the office now and cannot get past the Okta prompt. Can we bypass this for today?,Access Management,High,Verified identity via manager and issued a one-time bypass code valid for 4 hours.
Unauthorized server access detected,"Greetings. I am writing to politely inform you that I have detected an active unauthorized breach into our primary production database from an external IP. If it is not too much trouble, please take a look when you are finished with your lunch break.",Network,Critical,Blocked malicious IP range and initiated password reset protocol for compromised admin accounts.
Guest network access,We have a client visiting tomorrow. How do we get them temporary Wi-Fi access?,Network,Low,Generated a temporary 24-hour guest access code via the portal and provided instructions for the lobby reception desk.
Firewall Rule Request,Could you please open port 443 from our internal subnet 192.168.10.0/24 to the external vendor API at 203.0.113.45? This is required for the new software deployment on Friday.,Infrastructure,Low,Applied new firewall policy rule ID 405 on the Palo Alto firewall and verified connectivity.
Salesforce login loop,"Every time I try to log into Salesforce using Chrome on Windows 11, it just keeps refreshing the login page. I've cleared my browser cache and cookies, but it's not helping. Help, I can't update my leads!",Application,High,Identified as a conflict with a recently pushed browser extension. Disabled the extension and forced a browser refresh.
Physical Security System Offline,The NVR unit managing our door access cameras is showing 'Disk Error' on RAID array 0. Server logs indicate a failure in Disk 2. We are currently not recording any footage from the main lobby.,Infrastructure,Critical,Hot-swapped the failed 4TB WD Purple drive; RAID array is currently rebuilding successfully.
